SDR Valuations,,,,,
,,,,,
Report date,Currency Unit,Currency amount under Rule O-1,Exchange rate,U.S. Dollar equivalent,Percent change in exchange rate against U.S. dollar from previous calculation
,,,       SDR1 = US$,1.27324,-0.163
,,,,,
13-Jan-81,Deutsche mark,0.46,2.0003,0.229966,-1.29
13-Jan-81,French franc,0.74,4.6295,0.159844,-1.436
13-Jan-81,Japanese yen,34,204.17,0.166528,-0.549
13-Jan-81,U.K. pound,0.071,2.3867,0.169456,-0.699
13-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.265794,
,,,     U.S.$1.00 = SDR,0.790018,
,,,       SDR1 = US$,1.26579,-0.585
,,,,,
14-Jan-81,Deutsche mark,0.46,1.9925,0.230866,0.391
14-Jan-81,French franc,0.74,4.6117,0.160461,0.386
14-Jan-81,Japanese yen,34,203.07,0.16743,0.542
14-Jan-81,U.K. pound,0.071,2.394,0.169974,0.306
14-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.268731,
,,,     U.S.$1.00 = SDR,0.788189,
,,,       SDR1 = US$,1.26873,0.232
,,,,,
15-Jan-81,Deutsche mark,0.46,2.0005,0.229943,-0.4
15-Jan-81,French franc,0.74,4.6282,0.159889,-0.357
15-Jan-81,Japanese yen,34,202.87,0.167595,0.099
15-Jan-81,U.K. pound,0.071,2.399,0.170329,0.209
15-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.267756,
,,,     U.S.$1.00 = SDR,0.788795,
,,,       SDR1 = US$,1.26776,-0.076
,,,,,
16-Jan-81,Deutsche mark,0.46,2.0172,0.228039,-0.828
16-Jan-81,French franc,0.74,4.6597,0.158809,-0.676
16-Jan-81,Japanese yen,34,202.67,0.16776,0.099
16-Jan-81,U.K. pound,0.071,2.3995,0.170365,0.021
16-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.264973,
,,,     U.S.$1.00 = SDR,0.790531,
,,,       SDR1 = US$,1.26497,-0.22
,,,,,
19-Jan-81,Deutsche mark,0.46,2.0009,0.229897,0.815
19-Jan-81,French franc,0.74,4.6287,0.159872,0.67
19-Jan-81,Japanese yen,34,201.6,0.168651,0.531
19-Jan-81,U.K. pound,0.071,2.4158,0.171522,0.679
19-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.269942,
,,,     U.S.$1.00 = SDR,0.787438,
,,,       SDR1 = US$,1.26994,0.393
,,,,,
20-Jan-81,Deutsche mark,0.46,2.006,0.229312,-0.254
20-Jan-81,French franc,0.74,4.6382,0.159545,-0.205
20-Jan-81,Japanese yen,34,201.42,0.168802,0.089
20-Jan-81,U.K. pound,0.071,2.4115,0.171217,-0.178
20-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.268876,
,,,     U.S.$1.00 = SDR,0.788099,
,,,       SDR1 = US$,1.26888,-0.083
,,,,,
21-Jan-81,Deutsche mark,0.46,1.9885,0.23133,0.88
21-Jan-81,French franc,0.74,4.604,0.16073,0.743
21-Jan-81,Japanese yen,34,198.5,0.171285,1.471
21-Jan-81,U.K. pound,0.071,2.426,0.172246,0.601
21-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.275591,
,,,     U.S.$1.00 = SDR,0.78395,
,,,       SDR1 = US$,1.27559,0.529
,,,,,
22-Jan-81,Deutsche mark,0.46,2.0107,0.228776,-1.104
22-Jan-81,French franc,0.74,4.6505,0.159123,-1
22-Jan-81,Japanese yen,34,200.47,0.169601,-0.983
22-Jan-81,U.K. pound,0.071,2.4178,0.171664,-0.338
22-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.269164,
,,,     U.S.$1.00 = SDR,0.78792,
,,,       SDR1 = US$,1.26916,-0.504
,,,,,
23-Jan-81,Deutsche mark,0.46,2.0285,0.226769,-0.877
23-Jan-81,French franc,0.74,4.687,0.157884,-0.779
23-Jan-81,Japanese yen,34,201.72,0.16855,-0.62
23-Jan-81,U.K. pound,0.071,2.405,0.170755,-0.529
23-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.263958,
,,,     U.S.$1.00 = SDR,0.791166,
,,,       SDR1 = US$,1.26396,-0.41
,,,,,
26-Jan-81,Deutsche mark,0.46,2.0483,0.224576,-0.967
26-Jan-81,French franc,0.74,4.7282,0.156508,-0.871
26-Jan-81,Japanese yen,34,202.82,0.167636,-0.542
26-Jan-81,U.K. pound,0.071,2.4045,0.17072,-0.021
26-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.25944,
,,,     U.S.$1.00 = SDR,0.794004,
,,,       SDR1 = US$,1.25944,-0.358
,,,,,
27-Jan-81,Deutsche mark,0.46,2.0588,0.223431,-0.51
27-Jan-81,French franc,0.74,4.749,0.155822,-0.438
27-Jan-81,Japanese yen,34,202.65,0.167777,0.084
27-Jan-81,U.K. pound,0.071,2.4145,0.17143,0.416
27-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.25846,
,,,     U.S.$1.00 = SDR,0.794622,
,,,       SDR1 = US$,1.25846,-0.078
,,,,,
28-Jan-81,Deutsche mark,0.46,2.0831,0.220825,-1.167
28-Jan-81,French franc,0.74,4.8,0.154167,-1.062
28-Jan-81,Japanese yen,34,203.22,0.167306,-0.28
28-Jan-81,U.K. pound,0.071,2.4058,0.170812,-0.36
28-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.25311,
,,,     U.S.$1.00 = SDR,0.798015,
,,,       SDR1 = US$,1.25311,-0.425
,,,,,
29-Jan-81,Deutsche mark,0.46,2.0918,0.219906,-0.416
29-Jan-81,French franc,0.74,4.82,0.153527,-0.415
29-Jan-81,Japanese yen,34,203.87,0.166773,-0.319
29-Jan-81,U.K. pound,0.071,2.4015,0.170507,-0.179
29-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.250713,
,,,     U.S.$1.00 = SDR,0.799544,
,,,       SDR1 = US$,1.25071,-0.192
,,,,,
30-Jan-81,Deutsche mark,0.46,2.1145,0.217546,-1.074
30-Jan-81,French franc,0.74,4.87,0.151951,-1.027
30-Jan-81,Japanese yen,34,205.72,0.165273,-0.899
30-Jan-81,U.K. pound,0.071,2.386,0.169406,-0.645
30-Jan-81,U.S. dollar,0.54,1,0.54,0
,,,,1.244176,
,,,     U.S.$1.00 = SDR,0.803745,
,,,       SDR1 = US$,1.24418,-0.522
,,,,,
02-Feb-81,Deutsche mark,0.46,2.106,0.218424,0.404
02-Feb-81,French franc,0.74,4.863,0.152169,0.144
02-Feb-81,Japanese yen,34,203.17,0.167348,1.255
02-Feb-81,U.K. pound,0.071,2.36,0.16756,-1.09
02-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.245501,
,,,     U.S.$1.00 = SDR,0.80289,
,,,       SDR1 = US$,1.2455,0.106
,,,,,
03-Feb-81,Deutsche mark,0.46,2.15,0.213953,-2.047
03-Feb-81,French franc,0.74,4.9625,0.149118,-2.005
03-Feb-81,Japanese yen,34,204.9,0.165935,-0.844
03-Feb-81,U.K. pound,0.071,2.3365,0.165892,-0.996
03-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.234898,
,,,     U.S.$1.00 = SDR,0.809783,
,,,       SDR1 = US$,1.2349,-0.851
,,,,,
04-Feb-81,Deutsche mark,0.46,2.1317,0.21579,0.858
04-Feb-81,French franc,0.74,4.9147,0.150569,0.973
04-Feb-81,Japanese yen,34,203.57,0.167019,0.653
04-Feb-81,U.K. pound,0.071,2.3515,0.166957,0.642
04-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.240335,
,,,     U.S.$1.00 = SDR,0.806234,
,,,       SDR1 = US$,1.24034,0.441
,,,,,
05-Feb-81,Deutsche mark,0.46,2.1215,0.216828,0.481
05-Feb-81,French franc,0.74,4.89,0.151329,0.505
05-Feb-81,Japanese yen,34,201.72,0.16855,0.917
05-Feb-81,U.K. pound,0.071,2.357,0.167347,0.234
05-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.244054,
,,,     U.S.$1.00 = SDR,0.803824,
,,,       SDR1 = US$,1.24405,0.299
,,,,,
06-Feb-81,Deutsche mark,0.46,2.139,0.215054,-0.818
06-Feb-81,French franc,0.74,4.935,0.149949,-0.912
06-Feb-81,Japanese yen,34,202.95,0.167529,-0.606
06-Feb-81,U.K. pound,0.071,2.336,0.165856,-0.891
06-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.238388,
,,,     U.S.$1.00 = SDR,0.807501,
,,,       SDR1 = US$,1.23839,-0.455
,,,,,
09-Feb-81,Deutsche mark,0.46,2.1355,0.215406,0.164
09-Feb-81,French franc,0.74,4.923,0.150315,0.244
09-Feb-81,Japanese yen,34,203.52,0.16706,-0.28
09-Feb-81,U.K. pound,0.071,2.3385,0.166034,0.107
09-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.238815,
,,,     U.S.$1.00 = SDR,0.807223,
,,,       SDR1 = US$,1.23882,0.035
,,,,,
10-Feb-81,Deutsche mark,0.46,2.1385,0.215104,-0.14
10-Feb-81,French franc,0.74,4.929,0.150132,-0.122
10-Feb-81,Japanese yen,34,203.61,0.166986,-0.044
10-Feb-81,U.K. pound,0.071,2.3397,0.166119,0.051
10-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.238341,
,,,     U.S.$1.00 = SDR,0.807532,
,,,       SDR1 = US$,1.23834,-0.039
,,,,,
11-Feb-81,Deutsche mark,0.46,2.15,0.213953,-0.535
11-Feb-81,French franc,0.74,4.9525,0.149419,-0.475
11-Feb-81,Japanese yen,34,203.5,0.167076,0.054
11-Feb-81,U.K. pound,0.071,2.335,0.165785,-0.201
11-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.236233,
,,,     U.S.$1.00 = SDR,0.808909,
,,,       SDR1 = US$,1.23623,-0.17
,,,,,
12-Feb-81,Deutsche mark,0.46,2.1715,0.211835,-0.99
12-Feb-81,French franc,0.74,5.0027,0.14792,-1.003
12-Feb-81,Japanese yen,34,204.45,0.1663,-0.465
12-Feb-81,U.K. pound,0.071,2.3243,0.165025,-0.458
12-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.23108,
,,,     U.S.$1.00 = SDR,0.812295,
,,,       SDR1 = US$,1.23108,-0.417
,,,,,
13-Feb-81,Deutsche mark,0.46,2.1967,0.209405,-1.147
13-Feb-81,French franc,0.74,5.0612,0.14621,-1.156
13-Feb-81,Japanese yen,34,205.67,0.165313,-0.593
13-Feb-81,U.K. pound,0.071,2.302,0.163442,-0.959
13-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.22437,
,,,     U.S.$1.00 = SDR,0.816747,
,,,       SDR1 = US$,1.22437,-0.545
,,,,,
16-Feb-81,Deutsche mark,0.46,2.249,0.204535,-2.325
16-Feb-81,French franc,0.74,5.1905,0.142568,-2.491
16-Feb-81,Japanese yen,34,208.55,0.16303,-1.381
16-Feb-81,U.K. pound,0.071,2.25,0.15975,-2.259
16-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.209883,
,,,     U.S.$1.00 = SDR,0.826526,
,,,       SDR1 = US$,1.20988,-1.183
,,,,,
17-Feb-81,Deutsche mark,0.46,2.189,0.210142,2.741
17-Feb-81,French franc,0.74,5.065,0.146101,2.478
17-Feb-81,Japanese yen,34,206.27,0.164833,1.105
17-Feb-81,U.K. pound,0.071,2.2685,0.161064,0.822
17-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.22214,
,,,     U.S.$1.00 = SDR,0.818237,
,,,       SDR1 = US$,1.22214,1.013
,,,,,
18-Feb-81,Deutsche mark,0.46,2.167,0.212275,1.015
18-Feb-81,French franc,0.74,5.0175,0.147484,0.947
18-Feb-81,Japanese yen,34,205.72,0.165273,0.267
18-Feb-81,U.K. pound,0.071,2.2725,0.161348,0.176
18-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.22638,
,,,     U.S.$1.00 = SDR,0.815408,
,,,       SDR1 = US$,1.22638,0.347
,,,,,
19-Feb-81,Deutsche mark,0.46,2.1645,0.21252,0.116
19-Feb-81,French franc,0.74,5.0237,0.147302,-0.123
19-Feb-81,Japanese yen,34,205.97,0.165073,-0.121
19-Feb-81,U.K. pound,0.071,2.2705,0.161206,-0.088
19-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.226101,
,,,     U.S.$1.00 = SDR,0.815593,
,,,       SDR1 = US$,1.2261,-0.023
,,,,,
20-Feb-81,Deutsche mark,0.46,2.1005,0.218995,3.047
20-Feb-81,French franc,0.74,4.8895,0.151345,2.745
20-Feb-81,Japanese yen,34,205.32,0.165595,0.317
20-Feb-81,U.K. pound,0.071,2.3105,0.164046,1.762
20-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.239981,
,,,     U.S.$1.00 = SDR,0.806464,
,,,       SDR1 = US$,1.23998,1.132
,,,,,
23-Feb-81,Deutsche mark,0.46,2.11,0.218009,-0.45
23-Feb-81,French franc,0.74,4.9175,0.150483,-0.569
23-Feb-81,Japanese yen,34,207.55,0.163816,-1.074
23-Feb-81,U.K. pound,0.071,2.266,0.160886,-1.926
23-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.233194,
,,,     U.S.$1.00 = SDR,0.810902,
,,,       SDR1 = US$,1.23319,-0.548
,,,,,
24-Feb-81,Deutsche mark,0.46,2.0982,0.219236,0.562
24-Feb-81,French franc,0.74,4.9012,0.150983,0.333
24-Feb-81,Japanese yen,34,207.22,0.164077,0.159
24-Feb-81,U.K. pound,0.071,2.2433,0.159274,-1.002
24-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.23357,
,,,     U.S.$1.00 = SDR,0.810655,
,,,       SDR1 = US$,1.23357,0.031
,,,,,
25-Feb-81,Deutsche mark,0.46,2.103,0.218735,-0.228
25-Feb-81,French franc,0.74,4.925,0.150254,-0.483
25-Feb-81,Japanese yen,34,207.27,0.164037,-0.024
25-Feb-81,U.K. pound,0.071,2.2315,0.158437,-0.526
25-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.231463,
,,,     U.S.$1.00 = SDR,0.812042,
,,,       SDR1 = US$,1.23146,-0.171
,,,,,
26-Feb-81,Deutsche mark,0.46,2.1195,0.217032,-0.778
26-Feb-81,French franc,0.74,4.973,0.148804,-0.965
26-Feb-81,Japanese yen,34,207.5,0.163855,-0.111
26-Feb-81,U.K. pound,0.071,2.2245,0.15794,-0.314
26-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.227631,
,,,     U.S.$1.00 = SDR,0.814577,
,,,       SDR1 = US$,1.22763,-0.311
,,,,,
27-Feb-81,Deutsche mark,0.46,2.128,0.216165,-0.399
27-Feb-81,French franc,0.74,4.9975,0.148074,-0.49
27-Feb-81,Japanese yen,34,209.2,0.162524,-0.813
27-Feb-81,U.K. pound,0.071,2.2045,0.15652,-0.899
27-Feb-81,U.S. dollar,0.54,1,0.54,0
,,,,1.223283,
,,,     U.S.$1.00 = SDR,0.817472,
,,,       SDR1 = US$,1.22328,-0.354
,,,,,
02-Mar-81,Deutsche mark,0.46,2.151,0.213854,-1.069
02-Mar-81,French franc,0.74,5.0595,0.14626,-1.225
02-Mar-81,Japanese yen,34,211.1,0.161061,-0.9
02-Mar-81,U.K. pound,0.071,2.1775,0.154603,-1.225
02-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.215778,
,,,     U.S.$1.00 = SDR,0.822519,
,,,       SDR1 = US$,1.21578,-0.613
,,,,,
03-Mar-81,Deutsche mark,0.46,2.1725,0.211738,-0.99
03-Mar-81,French franc,0.74,5.112,0.144757,-1.027
03-Mar-81,Japanese yen,34,209.52,0.162276,0.754
03-Mar-81,U.K. pound,0.071,2.1815,0.154887,0.184
03-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.213658,
,,,     U.S.$1.00 = SDR,0.823955,
,,,       SDR1 = US$,1.21366,-0.174
,,,,,
04-Mar-81,Deutsche mark,0.46,2.121,0.216879,2.428
04-Mar-81,French franc,0.74,4.9912,0.148261,2.42
04-Mar-81,Japanese yen,34,207.72,0.163682,0.867
04-Mar-81,U.K. pound,0.071,2.215,0.157265,1.536
04-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.226087,
,,,     U.S.$1.00 = SDR,0.815603,
,,,       SDR1 = US$,1.22609,1.024
,,,,,
05-Mar-81,Deutsche mark,0.46,2.1316,0.2158,-0.497
05-Mar-81,French franc,0.74,5.0155,0.147543,-0.484
05-Mar-81,Japanese yen,34,208.2,0.163305,-0.231
05-Mar-81,U.K. pound,0.071,2.1992,0.156143,-0.713
05-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.222791,
,,,     U.S.$1.00 = SDR,0.817801,
,,,       SDR1 = US$,1.22279,-0.269
,,,,,
06-Mar-81,Deutsche mark,0.46,2.1475,0.214203,-0.74
06-Mar-81,French franc,0.74,5.0517,0.146485,-0.717
06-Mar-81,Japanese yen,34,208.97,0.162703,-0.368
06-Mar-81,U.K. pound,0.071,2.1845,0.1551,-0.668
06-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.218491,
,,,     U.S.$1.00 = SDR,0.820687,
,,,       SDR1 = US$,1.21849,-0.352
,,,,,
09-Mar-81,Deutsche mark,0.46,2.1346,0.215497,0.604
09-Mar-81,French franc,0.74,5.0312,0.147082,0.407
09-Mar-81,Japanese yen,34,207.37,0.163958,0.772
09-Mar-81,U.K. pound,0.071,2.1845,0.1551,0
09-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.221637,
,,,     U.S.$1.00 = SDR,0.818574,
,,,       SDR1 = US$,1.22164,0.259
,,,,,
10-Mar-81,Deutsche mark,0.46,2.1108,0.217927,1.128
10-Mar-81,French franc,0.74,4.9762,0.148708,1.105
10-Mar-81,Japanese yen,34,206.67,0.164513,0.339
10-Mar-81,U.K. pound,0.071,2.2115,0.157017,1.236
10-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.228165,
,,,     U.S.$1.00 = SDR,0.814223,
,,,       SDR1 = US$,1.22817,0.535
,,,,,
11-Mar-81,Deutsche mark,0.46,2.1125,0.217751,-0.08
11-Mar-81,French franc,0.74,4.975,0.148744,0.024
11-Mar-81,Japanese yen,34,207.77,0.163642,-0.529
11-Mar-81,U.K. pound,0.071,2.2235,0.157869,0.543
11-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.228006,
,,,     U.S.$1.00 = SDR,0.814328,
,,,       SDR1 = US$,1.22801,-0.013
,,,,,
12-Mar-81,Deutsche mark,0.46,2.112,0.217803,0.024
12-Mar-81,French franc,0.74,4.9822,0.148529,-0.145
12-Mar-81,Japanese yen,34,207.55,0.163816,0.106
12-Mar-81,U.K. pound,0.071,2.216,0.157336,-0.337
12-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.227484,
,,,     U.S.$1.00 = SDR,0.814675,
,,,       SDR1 = US$,1.22748,-0.043
,,,,,
13-Mar-81,Deutsche mark,0.46,2.1125,0.217751,-0.024
13-Mar-81,French franc,0.74,4.9807,0.148573,0.03
13-Mar-81,Japanese yen,34,207.85,0.16358,-0.144
13-Mar-81,U.K. pound,0.071,2.216,0.157336,0
13-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.22724,
,,,     U.S.$1.00 = SDR,0.814837,
,,,       SDR1 = US$,1.22724,-0.02
,,,,,
16-Mar-81,Deutsche mark,0.46,2.0993,0.219121,0.629
16-Mar-81,French franc,0.74,4.9515,0.14945,0.59
16-Mar-81,Japanese yen,34,207.15,0.164132,0.338
16-Mar-81,U.K. pound,0.071,2.233,0.158543,0.767
16-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.231246,
,,,     U.S.$1.00 = SDR,0.812185,
,,,       SDR1 = US$,1.23125,0.327
,,,,,
17-Mar-81,Deutsche mark,0.46,2.0824,0.220899,0.812
17-Mar-81,French franc,0.74,4.9112,0.150676,0.821
17-Mar-81,Japanese yen,34,207,0.164251,0.072
17-Mar-81,U.K. pound,0.071,2.2545,0.16007,0.963
17-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.235896,
,,,     U.S.$1.00 = SDR,0.80913,
,,,       SDR1 = US$,1.2359,0.378
,,,,,
18-Mar-81,Deutsche mark,0.46,2.0646,0.222803,0.862
18-Mar-81,French franc,0.74,4.8687,0.151991,0.873
18-Mar-81,Japanese yen,34,206.65,0.164529,0.169
18-Mar-81,U.K. pound,0.071,2.2705,0.161206,0.71
18-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.240529,
,,,     U.S.$1.00 = SDR,0.806108,
,,,       SDR1 = US$,1.24053,0.375
,,,,,
19-Mar-81,Deutsche mark,0.46,2.0465,0.224774,0.884
19-Mar-81,French franc,0.74,4.833,0.153114,0.739
19-Mar-81,Japanese yen,34,208.15,0.163344,-0.721
19-Mar-81,U.K. pound,0.071,2.2745,0.16149,0.176
19-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.242722,
,,,     U.S.$1.00 = SDR,0.804685,
,,,       SDR1 = US$,1.24272,0.177
,,,,,
20-Mar-81,Deutsche mark,0.46,2.0705,0.222169,-1.159
20-Mar-81,French franc,0.74,4.8762,0.151758,-0.886
20-Mar-81,Japanese yen,34,208.97,0.162703,-0.392
20-Mar-81,U.K. pound,0.071,2.266,0.160886,-0.374
20-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.237516,
,,,     U.S.$1.00 = SDR,0.80807,
,,,       SDR1 = US$,1.23752,-0.418
,,,,,
23-Mar-81,Deutsche mark,0.46,2.0875,0.220359,-0.814
23-Mar-81,French franc,0.74,4.9182,0.150462,-0.854
23-Mar-81,Japanese yen,34,208.7,0.162913,0.129
23-Mar-81,U.K. pound,0.071,2.2455,0.159431,-0.905
23-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.233165,
,,,     U.S.$1.00 = SDR,0.810921,
,,,       SDR1 = US$,1.23317,-0.352
,,,,,
24-Mar-81,Deutsche mark,0.46,2.091,0.21999,-0.167
24-Mar-81,French franc,0.74,4.9265,0.150208,-0.168
24-Mar-81,Japanese yen,34,208.82,0.16282,-0.057
24-Mar-81,U.K. pound,0.071,2.2565,0.160212,0.49
24-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.23323,
,,,     U.S.$1.00 = SDR,0.810879,
,,,       SDR1 = US$,1.23323,0.005
,,,,,
25-Mar-81,Deutsche mark,0.46,2.0885,0.220254,0.12
25-Mar-81,French franc,0.74,4.919,0.150437,0.152
25-Mar-81,Japanese yen,34,208.85,0.162796,-0.014
25-Mar-81,U.K. pound,0.071,2.264,0.160744,0.332
25-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.234231,
,,,     U.S.$1.00 = SDR,0.810221,
,,,       SDR1 = US$,1.23423,0.081
,,,,,
26-Mar-81,Deutsche mark,0.46,2.0965,0.219413,-0.382
26-Mar-81,French franc,0.74,4.943,0.149707,-0.486
26-Mar-81,Japanese yen,34,210.75,0.161329,-0.902
26-Mar-81,U.K. pound,0.071,2.2563,0.160197,-0.34
26-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.230646,
,,,     U.S.$1.00 = SDR,0.812581,
,,,       SDR1 = US$,1.23065,-0.29
,,,,,
27-Mar-81,Deutsche mark,0.46,2.127,0.216267,-1.434
27-Mar-81,French franc,0.74,5.0125,0.147631,-1.387
27-Mar-81,Japanese yen,34,212.25,0.160188,-0.707
27-Mar-81,U.K. pound,0.071,2.2345,0.15865,-0.966
27-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.222736,
,,,     U.S.$1.00 = SDR,0.817838,
,,,       SDR1 = US$,1.22274,-0.643
,,,,,
30-Mar-81,Deutsche mark,0.46,2.123,0.216675,0.188
30-Mar-81,French franc,0.74,5.0027,0.14792,0.196
30-Mar-81,Japanese yen,34,211.72,0.160589,0.25
30-Mar-81,U.K. pound,0.071,2.239,0.158969,0.201
30-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.224153,
,,,     U.S.$1.00 = SDR,0.816891,
,,,       SDR1 = US$,1.22415,0.115
,,,,,
31-Mar-81,Deutsche mark,0.46,2.102,0.218839,0.999
31-Mar-81,French franc,0.74,4.9595,0.149209,0.871
31-Mar-81,Japanese yen,34,211,0.161137,0.341
31-Mar-81,U.K. pound,0.071,2.2442,0.159338,0.232
31-Mar-81,U.S. dollar,0.54,1,0.54,0
,,,,1.228523,
,,,     U.S.$1.00 = SDR,0.813986,
,,,       SDR1 = US$,1.22852,0.357
,,,,,
01-Apr-81,Deutsche mark,0.46,2.0975,0.219309,0.215
