,Upper Tier Local Authorities Code,Upper Tier Local Authorities,Observation,Latitude,Longitude
744,E08000025,Birmingham,86669,52.48,-1.89
753,E08000026,Coventry,30134,52.41,-1.51
762,E08000027,Metropolitan Borough of Dudley,16644,52.50,-2.08
771,E08000028,Sandwell,21710,52.50,-1.97
780,E08000029,Solihull,10249,52.41,-1.77
789,E08000030,Metropolitan Borough of Walsall,16323,52.58,-1.98
798,E08000031,Wolverhampton,17922,52.59,-2.13
807,E08000032,Bradford,42709,53.79,-1.75
816,E08000033,Calderdale,16210,53.72,-1.97
825,E08000034,Kirklees,29858,53.59,-1.80
834,E08000035,Leeds,68197,53.80,-1.55
843,E08000036,Wakefield,19969,53.68,-1.50
852,E08000037,Metropolitan Borough of Gateshead,12920,54.95,-1.60
861,E09000001,City of London,2064,51.51,-0.09
870,E09000002,London Borough of Barking and Dagenham,16443,51.55,0.12
879,E09000003,London Borough of Barnet,45180,51.63,-0.15
888,E09000004,London Borough of Bexley,13078,51.42,0.13
897,E09000005,London Borough of Brent,39732,51.57,-0.27
906,E09000006,London Borough of Bromley,21418,51.40,0.02
915,E09000007,London Borough of Camden,30382,51.54,-0.14
924,E09000008,London Borough of Croydon,36484,51.33,-0.08
933,E09000009,London Borough of Ealing,42063,51.50,-0.33
942,E09000010,London Borough of Enfield,32773,51.65,-0.06
951,E09000011,Royal Borough of Greenwich,26863,51.45,0.05
960,E09000012,London Borough of Hackney,31943,51.55,-0.06
969,E09000013,London Borough of Hammersmith and Fulham,27284,51.49,-0.23
978,E09000014,London Borough of Haringey,35052,51.60,-0.11
987,E09000015,London Borough of Harrow,24354,51.57,-0.33
996,E09000016,London Borough of Havering,14452,51.57,0.18
1005,E09000017,London Borough of Hillingdon,25692,51.50,-0.45
1014,E09000018,London Borough of Hounslow,29537,51.47,-0.36
1023,E09000019,Islington,28084,51.54,-0.10
1032,E09000020,Royal Borough of Kensington and Chelsea,23560,51.50,-0.19
1041,E09000021,Royal Borough of Kingston upon Thames,16535,51.39,-0.28
1050,E09000022,London Borough of Lambeth,39228,51.46,-0.12
1059,E09000023,London Borough of Lewisham,30797,51.42,-0.03
1068,E09000024,London Borough of Merton,21998,51.38,-0.17
1077,E09000025,London Borough of Newham,41391,51.54,0.00
1086,E09000026,London Borough of Redbridge,29079,51.57,0.08
1095,E09000027,London Borough of Richmond upon Thames,18393,51.42,-0.33
1104,E09000028,London Borough of Southwark,34493,51.45,-0.08
1113,E09000029,London Borough of Sutton,15372,51.33,-0.17
1122,E09000030,London Borough of Tower Hamlets,43126,51.52,-0.05
1131,E09000031,London Borough of Waltham Forest,26361,51.59,-0.02
1140,E09000032,London Borough of Wandsworth,46295,51.46,-0.19
1149,E09000033,City of Westminster,36871,51.50,-0.13
1158,E10000003,Cambridgeshire,46798,52.21,0.12
1167,E10000006,Cumbria,29289,54.50,-3.25
1176,E10000007,Derbyshire,45988,53.12,-1.45
1185,E10000008,Devon,57654,50.72,-3.72
1194,E10000011,East Sussex,41803,50.92,0.33
1203,E10000012,Essex,87593,51.75,0.58
1212,E10000013,Gloucestershire,42649,51.86,-2.24
1221,E10000014,Hampshire,73458,51.08,-1.25
1230,E10000015,Hertfordshire,72661,51.81,-0.24
1239,E10000016,Kent,108543,51.19,0.73
1248,E10000017,Lancashire,85896,54.05,-2.80
1257,E10000018,Leicestershire,39202,52.72,-1.18
1266,E10000019,Lincolnshire,55817,53.07,-0.18
1275,E10000020,Norfolk,64491,52.63,1.30
1284,E10000023,North Yorkshire,42111,54.39,-1.39
1293,E10000024,Nottinghamshire,52097,53.13,-0.90
1302,E10000025,Oxfordshire,49107,51.75,-1.26
1311,E10000027,Somerset,37934,51.18,-3.00
1320,E10000028,Staffordshire,47101,52.88,-2.06
1329,E10000029,Suffolk,54323,52.19,0.97
1338,E10000030,Surrey,71663,51.24,-0.42
1347,E10000031,Warwickshire,37302,52.27,-1.47
1356,E10000032,West Sussex,58154,50.92,-0.50
1365,E10000034,Worcestershire,33629,52.19,-2.22
